OBJECTID,FULL_NAME,Has_MAX_BRT,Shape_Length,SIDEWALK_AREA,SIDEWALK_WIDTH,HOV,IMPACTED,BLOCK_ID,INTEGRATED_LU,GREEN_BUFFER,Start_X,Start_Y,End_X,End_Y
2953,CENTRE ST N,Yes,0.50000121,0.88490516,1.8,,,21,Yes,,-4378.3723,5660867.021,-4378.3712,5660867.521
2954,CENTRE ST N,Yes,0.50000144,0.885855445,1.8,,,21,Yes,,-4378.3735,5660866.521,-4378.3723,5660867.021
2955,CENTRE ST N,Yes,0.50000121,0.88690507,1.8,,,21,Yes,,-4378.3746,5660866.021,-4378.3735,5660866.521
2956,CENTRE ST N,Yes,0.50000144,0.887930385,1.8,,,21,Yes,,-4378.3758,5660865.521,-4378.3746,5660866.021
2957,CENTRE ST N,Yes,0.50000121,0.888930215,1.8,,,21,Yes,,-4378.3769,5660865.021,-4378.3758,5660865.521
2958,CENTRE ST N,Yes,0.50000144,0.88990554,1.8,,,21,Yes,,-4378.3781,5660864.521,-4378.3769,5660865.021
2959,CENTRE ST N,Yes,0.50000121,0.888689655,1.8,,,21,Yes,,-4378.3792,5660864.021,-4378.3781,5660864.521
2960,CENTRE ST N,Yes,0.50000144,0.88775626,1.8,,,21,Yes,,-4378.3804,5660863.521,-4378.3792,5660864.021
2961,CENTRE ST N,Yes,0.50000121,0.88820573,1.8,,,21,Yes,,-4378.3815,5660863.021,-4378.3804,5660863.521
2962,CENTRE ST N,Yes,0.50000144,0.888581155,1.8,,,21,Yes,,-4378.3827,5660862.521,-4378.3815,5660863.021
2963,CENTRE ST N,Yes,0.50000121,0.88895562,1.8,,,21,Yes,,-4378.3838,5660862.021,-4378.3827,5660862.521
2964,CENTRE ST N,Yes,0.50000144,0.889356,1.8,,,21,Yes,,-4378.385,5660861.521,-4378.3838,5660862.021
2965,CENTRE ST N,Yes,0.50000121,0.88980582,1.8,,,21,,,-4378.3861,5660861.021,-4378.385,5660861.521
2966,CENTRE ST N,Yes,0.50000144,0.890231155,1.8,,,21,,,-4378.3873,5660860.521,-4378.3861,5660861.021
2967,CENTRE ST N,Yes,0.50000121,0.89096303,1.8,,,21,,,-4378.3884,5660860.021,-4378.3873,5660860.521
2968,CENTRE ST N,Yes,0.50000144,0.89225688,1.8,,,21,,,-4378.3896,5660859.521,-4378.3884,5660860.021
2969,CENTRE ST N,Yes,0.50000121,0.893559765,1.8,,,21,,,-4378.3907,5660859.021,-4378.3896,5660859.521
2970,CENTRE ST N,Yes,0.50000144,0.894941105,1.8,,,21,,,-4378.3919,5660858.521,-4378.3907,5660859.021
2971,CENTRE ST N,Yes,0.50000121,0.896481285,1.8,,,21,,,-4378.393,5660858.021,-4378.3919,5660858.521
2972,CENTRE ST N,Yes,0.50000144,0.897931645,1.8,,,21,,,-4378.3942,5660857.521,-4378.393,5660858.021
2973,CENTRE ST N,Yes,0.50000121,0.899381175,1.8,,,21,,,-4378.3953,5660857.021,-4378.3942,5660857.521
2974,CENTRE ST N,Yes,0.50000144,0.90075263,1.8,,,21,,,-4378.3965,5660856.521,-4378.3953,5660857.021
2975,CENTRE ST N,Yes,0.50000121,0.901930305,1.8,,,21,,,-4378.3976,5660856.021,-4378.3965,5660856.521
2976,CENTRE ST N,Yes,0.50000144,0.912479125,1.8,,,21,,,-4378.3424,5660880.021,-4378.3412,5660880.521
2977,CENTRE ST N,Yes,0.50000121,0.9116537,1.8,,,21,,,-4378.3435,5660879.521,-4378.3424,5660880.021
2978,CENTRE ST N,Yes,0.50000144,0.910829125,1.8,,,21,Yes,,-4378.3447,5660879.021,-4378.3435,5660879.521
2979,CENTRE ST N,Yes,0.500001223,0.8904276,1.8,,,21,Yes,,-4378.3458,5660878.521,-4378.3447,5660879.021
2980,CENTRE ST N,Yes,0.50000144,0.90915606,1.8,,,21,Yes,,-4378.347,5660878.021,-4378.3458,5660878.521
2981,CENTRE ST N,Yes,0.50000121,0.908253545,1.8,,,21,Yes,,-4378.3481,5660877.521,-4378.347,5660878.021
2982,CENTRE ST N,Yes,0.50000144,0.907456365,1.8,,,21,Yes,,-4378.3493,5660877.021,-4378.3481,5660877.521
2983,CENTRE ST N,Yes,0.50000121,0.906851265,1.8,,,21,Yes,,-4378.3504,5660876.521,-4378.3493,5660877.021
2984,CENTRE ST N,Yes,0.50000144,0.90585698,1.8,,,21,Yes,,-4378.3516,5660876.021,-4378.3504,5660876.521
2985,CENTRE ST N,Yes,0.50000121,0.904681205,1.8,,,21,Yes,,-4378.3527,5660875.521,-4378.3516,5660876.021
2986,CENTRE ST N,Yes,0.50000144,0.90348204,1.8,,,21,Yes,,-4378.3539,5660875.021,-4378.3527,5660875.521
2987,CENTRE ST N,Yes,0.50000121,0.90230596,1.8,,,21,Yes,,-4378.355,5660874.521,-4378.3539,5660875.021
2988,CENTRE ST N,Yes,0.50000144,0.90110698,1.8,,,21,Yes,,-4378.3562,5660874.021,-4378.355,5660874.521
2989,CENTRE ST N,Yes,0.50000121,0.899906155,1.8,,,21,Yes,,-4378.3573,5660873.521,-4378.3562,5660874.021
2990,CENTRE ST N,Yes,0.50000144,0.89873168,1.8,,,21,Yes,,-4378.3585,5660873.021,-4378.3573,5660873.521
2991,CENTRE ST N,Yes,0.50000121,0.89755615,1.8,,,21,Yes,,-4378.3596,5660872.521,-4378.3585,5660873.021
2992,CENTRE ST N,Yes,0.50000144,0.896431895,1.8,,,21,Yes,,-4378.3608,5660872.021,-4378.3596,5660872.521
2993,CENTRE ST N,Yes,0.50000144,0.895256835,1.8,,,21,Yes,,-4378.362,5660871.521,-4378.3608,5660872.021
2994,CENTRE ST N,Yes,0.50000121,0.89401472,1.8,,,21,Yes,,-4378.3631,5660871.021,-4378.362,5660871.521
2995,CENTRE ST N,Yes,0.50000144,0.8922306,1.8,,,21,Yes,,-4378.3643,5660870.521,-4378.3631,5660871.021
2996,CENTRE ST N,Yes,0.50000121,0.89010525,1.8,,,21,Yes,,-4378.3654,5660870.021,-4378.3643,5660870.521
2997,CENTRE ST N,Yes,0.50000144,0.888005755,1.8,,,21,Yes,,-4378.3666,5660869.521,-4378.3654,5660870.021
2998,CENTRE ST N,Yes,0.50000121,0.885841265,1.8,,,21,Yes,,-4378.3677,5660869.021,-4378.3666,5660869.521
2999,CENTRE ST N,Yes,0.50000144,0.884186265,1.8,,,21,Yes,,-4378.3689,5660868.521,-4378.3677,5660869.021
3000,CENTRE ST N,Yes,0.50000144,0.94828487,1.9,,,21,Yes,,-4378.3136,5660892.521,-4378.3124,5660893.021
3001,CENTRE ST N,Yes,0.50000121,0.94843767,1.9,,,21,Yes,,-4378.3147,5660892.021,-4378.3136,5660892.521
3002,CENTRE ST N,Yes,0.50000144,0.947178525,1.9,,,21,Yes,,-4378.3159,5660891.521,-4378.3147,5660892.021
3003,CENTRE ST N,Yes,0.50000121,0.94557816,1.9,,,21,Yes,,-4378.317,5660891.021,-4378.3159,5660891.521
3004,CENTRE ST N,Yes,0.49990144,0.94378973,1.9,,,21,Yes,,-4378.3182,5660890.521,-4378.317,5660891.021
3005,CENTRE ST N,Yes,0.50000121,0.94235311,1.9,,,21,Yes,,-4378.3193,5660890.021,-4378.3182,5660890.521
3006,CENTRE ST N,Yes,0.50000144,0.940755435,1.9,,,21,Yes,,-4378.3205,5660889.521,-4378.3193,5660890.021
3007,CENTRE ST N,Yes,0.50000121,0.93915301,1.9,,,21,Yes,,-4378.3216,5660889.021,-4378.3205,5660889.521
3008,CENTRE ST N,Yes,0.50000144,0.937655801,1.9,,,21,Yes,,-4378.3228,5660888.521,-4378.3216,5660889.021
3009,CENTRE ST N,Yes,0.50000121,0.93612811,1.9,,,21,Yes,,-4378.3239,5660888.021,-4378.3228,5660888.521
3010,CENTRE ST N,Yes,0.50000144,0.93460347,1.9,,,21,Yes,,-4378.3251,5660887.521,-4378.3239,5660888.021
3011,CENTRE ST N,Yes,0.50000144,0.933078415,1.9,,,21,Yes,,-4378.3263,5660887.021,-4378.3251,5660887.521
3012,CENTRE ST N,Yes,0.50000121,0.931527905,1.9,,,21,Yes,,-4378.3274,5660886.521,-4378.3263,5660887.021
3013,CENTRE ST N,Yes,0.50000144,0.9300283,1.9,,,21,Yes,,-4378.3286,5660886.021,-4378.3274,5660886.521
3014,CENTRE ST N,Yes,0.50000121,0.92847811,1.9,,,21,Yes,,-4378.3297,5660885.521,-4378.3286,5660886.021
3015,CENTRE ST N,Yes,0.50000144,0.926928415,1.9,,,21,Yes,,-4378.3309,5660885.021,-4378.3297,5660885.521
3016,CENTRE ST N,Yes,0.50000121,0.92535316,1.9,,,21,Yes,,-4378.332,5660884.521,-4378.3309,5660885.021
3017,CENTRE ST N,Yes,0.50000144,0.92385336,1.8,,,21,Yes,,-4378.3332,5660884.021,-4378.332,5660884.521
3018,CENTRE ST N,Yes,0.50000121,0.922302955,1.8,,,21,Yes,,-4378.3343,5660883.521,-4378.3332,5660884.021
3019,CENTRE ST N,Yes,0.50000144,0.920847835,1.8,,,21,,,-4378.3355,5660883.021,-4378.3343,5660883.521
3020,CENTRE ST N,Yes,0.50000121,0.91922811,1.8,,,21,,,-4378.3366,5660882.521,-4378.3355,5660883.021
3021,CENTRE ST N,Yes,0.50000144,0.917678355,1.8,,,21,,,-4378.3378,5660882.021,-4378.3366,5660882.521
3022,CENTRE ST N,Yes,0.50000121,0.91615306,1.8,,,21,,,-4378.3389,5660881.521,-4378.3378,5660882.021
3023,CENTRE ST N,Yes,0.50000144,0.91465341,1.8,,,21,,,-4378.3401,5660881.021,-4378.3389,5660881.521
3024,CENTRE ST N,Yes,0.50000121,0.91335676,1.8,,,21,,,-4378.3412,5660880.521,-4378.3401,5660881.021
3025,CENTRE ST N,Yes,0.50000144,0.93865413,1.9,,,21,Yes,,-4378.2848,5660905.021,-4378.2836,5660905.521
3026,CENTRE ST N,Yes,0.50000121,0.93932894,1.9,,,21,,,-4378.2859,5660904.521,-4378.2848,5660905.021
3027,CENTRE ST N,Yes,0.50000144,0.939929185,1.9,,,21,,,-4378.2871,5660904.021,-4378.2859,5660904.521
3028,CENTRE ST N,Yes,0.50000121,0.94055389,1.9,,,21,,,-4378.2882,5660903.521,-4378.2871,5660904.021
3029,CENTRE ST N,Yes,0.50000144,0.94120424,1.9,,,21,,,-4378.2894,5660903.021,-4378.2882,5660903.521
3030,CENTRE ST N,Yes,0.50000121,0.94185389,1.9,,,21,,,-4378.2905,5660902.521,-4378.2894,5660903.021
3031,CENTRE ST N,Yes,0.50000144,0.942515695,1.9,,,21,,,-4378.2917,5660902.021,-4378.2905,5660902.521
3032,CENTRE ST N,Yes,0.50000121,0.94355513,1.9,,,21,,,-4378.2928,5660901.521,-4378.2917,5660902.021
3033,CENTRE ST N,Yes,0.50000144,0.944630935,1.9,,,21,Yes,,-4378.294,5660901.021,-4378.2928,5660901.521
3034,CENTRE ST N,Yes,0.50000121,0.94578042,1.9,,,21,Yes,,-4378.2951,5660900.521,-4378.294,5660901.021
3035,CENTRE ST N,Yes,0.50000144,0.94690611,1.9,,,21,Yes,,-4378.2963,5660900.021,-4378.2951,5660900.521
3036,CENTRE ST N,Yes,0.50000121,0.947649815,1.9,,,21,Yes,,-4378.2974,5660899.521,-4378.2963,5660900.021
3037,CENTRE ST N,Yes,0.50000144,0.947684665,1.9,,,21,Yes,,-4378.2986,5660899.021,-4378.2974,5660899.521
3038,CENTRE ST N,Yes,0.50000121,0.94763631,1.9,,,21,Yes,,-4378.2997,5660898.521,-4378.2986,5660899.021
3039,CENTRE ST N,Yes,0.50000144,0.947734665,1.9,,,21,Yes,,-4378.3009,5660898.021,-4378.2997,5660898.521
3040,CENTRE ST N,Yes,0.50000121,0.94773394,1.9,,,21,Yes,,-4378.302,5660897.521,-4378.3009,5660898.021
3041,CENTRE ST N,Yes,0.50000144,0.947734785,1.9,,,21,Yes,,-4378.3032,5660897.021,-4378.302,5660897.521
3042,CENTRE ST N,Yes,0.50000144,0.947784785,1.9,,,21,Yes,,-4378.3044,5660896.521,-4378.3032,5660897.021
3043,CENTRE ST N,Yes,0.50000121,0.94778373,1.9,,,21,Yes,,-4378.3055,5660896.021,-4378.3044,5660896.521
3044,CENTRE ST N,Yes,0.50000144,0.947835015,1.9,,,21,Yes,,-4378.3067,5660895.521,-4378.3055,5660896.021
3045,CENTRE ST N,Yes,0.50000121,0.94785878,1.9,,,21,Yes,,-4378.3078,5660895.021,-4378.3067,5660895.521
3046,CENTRE ST N,Yes,0.50000144,0.947834785,1.9,,,21,Yes,,-4378.309,5660894.521,-4378.3078,5660895.021
3047,CENTRE ST N,Yes,0.50000121,0.94785899,1.9,,,21,Yes,,-4378.3101,5660894.021,-4378.309,5660894.521
3048,CENTRE ST N,Yes,0.50000144,0.94786375,1.9,,,21,Yes,,-4378.3113,5660893.521,-4378.3101,5660894.021
3049,CENTRE ST N,Yes,0.50000121,0.94803403,1.9,,,21,Yes,,-4378.3124,5660893.021,-4378.3113,5660893.521
3050,CENTRE ST N,Yes,0.50000121,0.93652907,1.9,,,21,Yes,,-4378.2559,5660917.521,-4378.2548,5660918.021
3051,CENTRE ST N,Yes,0.50000144,0.93612832,1.9,,,21,Yes,,-4378.2571,5660917.021,-4378.2559,5660917.521
3052,CENTRE ST N,Yes,0.50000144,0.93567973,1.9,,,21,Yes,,-4378.2583,5660916.521,-4378.2571,5660917.021
3053,CENTRE ST N,Yes,0.50000121,0.935229275,1.9,,,21,Yes,,-4378.2594,5660916.021,-4378.2583,5660916.521
3054,CENTRE ST N,Yes,0.50000144,0.934827625,1.9,,,21,Yes,,-4378.2606,5660915.521,-4378.2594,5660916.021
3055,CENTRE ST N,Yes,0.50000121,0.93435412,1.9,,,21,Yes,,-4378.2617,5660915.021,-4378.2606,5660915.521
3056,CENTRE ST N,Yes,0.50000144,0.93387969,1.9,,,21,Yes,,-4378.2629,5660914.521,-4378.2617,5660915.021
3057,CENTRE ST N,Yes,0.50000121,0.933454225,1.9,,,21,Yes,,-4378.264,5660914.021,-4378.2629,5660914.521
3058,CENTRE ST N,Yes,0.50000144,0.93305452,1.9,,,21,Yes,,-4378.2652,5660913.521,-4378.264,5660914.021
3059,CENTRE ST N,Yes,0.50000121,0.93260412,1.9,,,21,Yes,,-4378.2663,5660913.021,-4378.2652,5660913.521
3060,CENTRE ST N,Yes,0.50000144,0.93212969,1.9,,,21,Yes,,-4378.2675,5660912.521,-4378.2663,5660913.021
3061,CENTRE ST N,Yes,0.50000121,0.931878255,1.9,,,21,Yes,,-4378.2686,5660912.021,-4378.2675,5660912.521
3062,CENTRE ST N,Yes,0.50000144,0.9318035,1.9,,,21,Yes,,-4378.2698,5660911.521,-4378.2686,5660912.021
3063,CENTRE ST N,Yes,0.50000121,0.931728035,1.9,,,21,Yes,,-4378.2709,5660911.021,-4378.2698,5660911.521
3064,CENTRE ST N,Yes,0.50000144,0.93169817,1.9,,,21,Yes,,-4378.2721,5660910.521,-4378.2709,5660911.021
3065,CENTRE ST N,Yes,0.50000121,0.932178735,1.9,,,21,Yes,,-4378.2732,5660910.021,-4378.2721,5660910.521
3066,CENTRE ST N,Yes,0.50000144,0.93285427,1.9,,,21,Yes,,-4378.2744,5660909.521,-4378.2732,5660910.021
3067,CENTRE ST N,Yes,0.50000121,0.933528735,1.9,,,21,Yes,,-4378.2755,5660909.021,-4378.2744,5660909.521
3068,CENTRE ST N,Yes,0.50000144,0.934178985,1.9,,,21,Yes,,-4378.2767,5660908.521,-4378.2755,5660909.021
3069,CENTRE ST N,Yes,0.50000121,0.93480389,1.9,,,21,Yes,,-4378.2778,5660908.021,-4378.2767,5660908.521
3070,CENTRE ST N,Yes,0.50000144,0.935500445,1.9,,,21,Yes,,-4378.279,5660907.521,-4378.2778,5660908.021
3071,CENTRE ST N,Yes,0.50000144,0.936079415,1.9,,,21,Yes,,-4378.2802,5660907.021,-4378.279,5660907.521
3072,CENTRE ST N,Yes,0.50000121,0.93670358,1.9,,,21,Yes,,-4378.2813,5660906.521,-4378.2802,5660907.021
3073,CENTRE ST N,Yes,0.50000144,0.93730436,1.9,,,21,Yes,,-4378.2825,5660906.021,-4378.2813,5660906.521
3074,CENTRE ST N,Yes,0.50000121,0.937978735,1.9,,,21,Yes,,-4378.2836,5660905.521,-4378.2825,5660906.021
3075,CENTRE ST N,Yes,0.50000196,0.933305705,1.9,,Yes,21,,,-4378.2257,5660930.021,-4378.2243,5660930.521
3076,CENTRE ST N,Yes,0.50000196,0.93355544,1.9,,Yes,21,,,-4378.2271,5660929.521,-4378.2257,5660930.021
3077,CENTRE ST N,Yes,0.50000196,0.93378051,1.9,,Yes,21,,,-4378.2285,5660929.021,-4378.2271,5660929.521
3078,CENTRE ST N,Yes,0.50000169,0.9340301,1.9,,Yes,21,,,-4378.2298,5660928.521,-4378.2285,5660929.021
3079,CENTRE ST N,Yes,0.50000196,0.93430541,1.9,,Yes,21,,,-4378.2312,5660928.021,-4378.2298,5660928.521
3080,CENTRE ST N,Yes,0.499901961,0.934368629,1.9,,Yes,21,,,-4378.2326,5660927.521,-4378.2312,5660928.021
