OBJECTID,FULL_NAME,Has_MAX_BRT,Shape_Length,SIDEWALK_AREA,SIDEWALK_WIDTH,HOV,IMPACTED,BLOCK_ID,INTEGRATED_LU,GREEN_BUFFER,Start_X,Start_Y,End_X,End_Y
94,17 AV SE,Yes,0.5000061,1.771249995,3.5,Yes,Yes,1,,,548.7222,5655737.24,548.2223,5655737.251
95,17 AV SE,Yes,0.5000061,1.771033965,3.5,Yes,Yes,1,,,549.2221,5655737.23,548.7222,5655737.24
96,17 AV SE,Yes,0.50000817,1.771294574,3.5,Yes,Yes,1,,,549.722,5655737.22,549.2221,5655737.23
97,17 AV SE,Yes,0.500036425,1.10298081,2.2,Yes,Yes,1,,,550.222,5655737.214,549.722,5655737.22
98,17 AV SE,Yes,0.499920254,1.770202365,3.5,Yes,Yes,1,,,550.7219,5655737.21,550.222,5655737.214
99,17 AV SE,Yes,0.50002025,1.770855961,3.5,Yes,Yes,1,,,551.2219,5655737.205,550.7219,5655737.21
100,17 AV SE,Yes,0.50002116,1.77048183,3.5,Yes,Yes,1,,,551.7219,5655737.2,551.2219,5655737.205
101,17 AV SE,Yes,0.50002025,1.770723996,3.5,Yes,Yes,1,,,552.2219,5655737.196,551.7219,5655737.2
102,17 AV SE,Yes,0.50002025,1.77038177,3.5,Yes,Yes,1,,,552.7219,5655737.191,552.2219,5655737.196
103,17 AV SE,Yes,0.499920254,1.770124306,3.5,Yes,Yes,1,,,553.2218,5655737.187,552.7219,5655737.191
104,17 AV SE,Yes,0.50002025,1.7702828,3.5,Yes,Yes,1,,,553.7218,5655737.182,553.2218,5655737.187
105,17 AV SE,Yes,0.50002025,1.770421489,3.5,Yes,,1,,,554.2218,5655737.178,553.7218,5655737.182
106,17 AV SE,Yes,0.500031434,1.693544171,3.4,Yes,,1,,,554.7218,5655737.174,554.2218,5655737.178
107,17 AV SE,Yes,0.500007399,1.769939889,3.5,Yes,,1,,,555.2216,5655737.189,554.7218,5655737.174
108,17 AV SE,Yes,0.5000074,1.769521644,3.5,Yes,,1,,,555.7214,5655737.203,555.2216,5655737.189
109,17 AV SE,Yes,0.499907441,1.768493025,3.5,Yes,,1,,,556.2211,5655737.218,555.7214,5655737.203
110,17 AV SE,Yes,0.5000074,1.76814897,3.5,Yes,,1,,,556.7209,5655737.232,556.2211,5655737.218
111,17 AV SE,Yes,0.5000074,1.767773585,3.5,Yes,,1,,,557.2207,5655737.246,556.7209,5655737.232
112,17 AV SE,Yes,0.500007399,1.76703193,3.5,Yes,,1,,,557.7205,5655737.261,557.2207,5655737.246
113,17 AV SE,Yes,0.5000074,1.765605717,3.5,Yes,,1,,,558.2203,5655737.275,557.7205,5655737.261
114,17 AV SE,Yes,0.500007399,1.764012779,3.5,Yes,,1,,,558.7201,5655737.29,558.2203,5655737.275
115,17 AV SE,Yes,0.5000074,1.762558869,3.5,Yes,,1,,,559.2199,5655737.304,558.7201,5655737.29
116,17 AV SE,Yes,0.5000074,1.76105181,3.5,Yes,,1,,,559.7197,5655737.318,559.2199,5655737.304
117,17 AV SE,Yes,0.500007399,1.759630539,3.5,Yes,,1,,,560.2195,5655737.333,559.7197,5655737.318
118,17 AV SE,Yes,0.5000074,1.758251929,3.5,Yes,,1,,,560.7193,5655737.347,560.2195,5655737.333
119,17 AV SE,Yes,0.5000074,1.756951791,3.5,Yes,,1,,,561.2191,5655737.362,560.7193,5655737.347
120,17 AV SE,Yes,0.500007399,1.755504494,3.5,Yes,,1,,,561.7189,5655737.376,561.2191,5655737.362
121,17 AV SE,Yes,0.5000074,1.753729749,3.5,Yes,,1,,,562.2187,5655737.39,561.7189,5655737.376
122,17 AV SE,Yes,0.499907441,1.752249485,3.5,Yes,,1,,,562.7184,5655737.405,562.2187,5655737.39
123,17 AV SE,Yes,0.5000074,1.751176715,3.5,Yes,,1,,,563.2182,5655737.419,562.7184,5655737.405
124,17 AV SE,Yes,0.5000074,1.74974862,3.5,Yes,,1,,,563.718,5655737.434,563.2182,5655737.419
125,17 AV SE,Yes,0.500007399,1.748097291,3.5,Yes,,1,,,564.2178,5655737.448,563.718,5655737.434
126,17 AV SE,Yes,0.5000074,1.746826336,3.5,Yes,,1,,,564.7176,5655737.462,564.2178,5655737.448
127,17 AV SE,Yes,0.5000074,1.745218639,3.5,Yes,,1,,,565.2174,5655737.477,564.7176,5655737.462
128,17 AV SE,Yes,0.500007399,1.743496426,3.5,Yes,,1,,,565.7172,5655737.491,565.2174,5655737.477
129,17 AV SE,Yes,0.5000074,1.741836276,3.5,Yes,,1,,,566.217,5655737.506,565.7172,5655737.491
130,17 AV SE,Yes,0.500007399,1.740085304,3.5,Yes,,1,,,566.7168,5655737.52,566.217,5655737.506
