OBJECTID,BLDG_CODE,BLDG_CODE_DESC,X_COORD,Y_COORD,OBSCURED,CREATE_DT_UTC,MOD_DT_UTC,multipolygon,Shape_Length,Shape_Area
349,2,Commercial,-5253.26,5659003.85,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.07509 51.0673466, -114.0750898 51.0672928, -114.0750893 51.0671672, -114.0750891 51.067115, -114.0750891 51.0671142, -114.0748405 51.0671146, -114.0748405 51.0671151, -114.0748417 51.0673978, -114.0750903 51.0673974, -114.07509 51.0673466)))",97.85423149,548.823056
350,2,Commercial,-6851.04,5659004.02,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.097609 51.0671003, -114.0976104 51.0673816, -114.0979146 51.0673811, -114.0979132 51.0670997, -114.097609 51.0671003)))",105.2365542,667.2909553
351,2,Commercial,-4413.89,5659004.89,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0632344 51.0671324, -114.0632343 51.0671237, -114.062839 51.0671254, -114.0628397 51.0671864, -114.0627425 51.0671868, -114.062745 51.0674212, -114.0631404 51.0674195, -114.0631399 51.0673764, -114.063237 51.067376, -114.0632344 51.0671324)))",134.7605802,1055.344478
352,2,Commercial,-6897.73,5659004.17,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0986215 51.0673817, -114.0986215 51.0673727, -114.0986196 51.0670999, -114.0982343 51.067101, -114.0982363 51.067383, -114.0982363 51.0673831, -114.0986215 51.067382, -114.0986215 51.0673818, -114.0986215 51.0673817)))",116.7657721,847.4127816
353,2,Commercial,-4858.69,5659002.4,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0691486 51.0671285, -114.0691485 51.0673643, -114.0695231 51.0673644, -114.0695231 51.0671285, -114.0691486 51.0671285)))",104.9749668,688.7338881
354,2,Commercial,-7048.89,5659001.64,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.1007661 51.067323, -114.1007668 51.0671293, -114.1007605 51.0671293, -114.1007606 51.0671107, -114.1006712 51.0671106, -114.1006711 51.0671288, -114.1004028 51.0671284, -114.1004021 51.0673224, -114.1007661 51.067323)))",98.24609777,563.3321701
355,2,Commercial,-7198.74,5658993.56,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.1026836 51.0671759, -114.1027572 51.0671757, -114.1027619 51.0671757, -114.1027618 51.0671472, -114.1027618 51.067146, -114.1027616 51.0671101, -114.1027616 51.067109, -114.102683 51.0671091, -114.102683 51.06711, -114.1026832 51.0671458, -114.1026832 51.0671471, -114.1026833 51.0671759, -114.1026836 51.0671759)))",25.86844329,40.90187352
356,2,Commercial,-6392.65,5659004.98,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0911117 51.0673603, -114.0911111 51.0673817, -114.0911111 51.0673848, -114.0912256 51.0673873, -114.0913488 51.0673872, -114.091361 51.0673868, -114.0913605 51.0672823, -114.0913603 51.0672191, -114.0913599 51.0671253, -114.0913598 51.067123, -114.0913276 51.0671218, -114.091125 51.0671222, -114.0911248 51.0671491, -114.0911245 51.0671824, -114.091214 51.0671818, -114.0912141 51.0671981, -114.0911841 51.0672013, -114.0911606 51.067206, -114.091139 51.0672139, -114.0911203 51.0672239, -114.0911016 51.0672363, -114.0910906 51.0672519, -114.0910834 51.0672671, -114.0910828 51.0672835, -114.0910892 51.0672846, -114.091089 51.0672861, -114.0910979 51.0672861, -114.0910986 51.0673178, -114.0910876 51.0673242, -114.0910841 51.0673379, -114.0910901 51.0673501, -114.0911025 51.0673589, -114.0911117 51.0673603)))",106.326228,505.7186764
357,2,Commercial,-6411.19,5659005.29,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0921185 51.0672749, -114.0916053 51.067276, -114.0915913 51.067276, -114.0915902 51.0672419, -114.0915246 51.0672423, -114.0915247 51.0672027, -114.0915244 51.0671482, -114.0915243 51.0671274, -114.0913662 51.0671233, -114.0913666 51.0672119, -114.0913815 51.0672119, -114.0913824 51.0673914, -114.0921185 51.0673874, -114.0921188 51.0673805, -114.0921233 51.0672749, -114.0921185 51.0672749)))",164.5323341,850.9991659
358,2,Commercial,-5073.6,5659000.37,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0724911 51.0672519, -114.0724912 51.0672248, -114.0724732 51.0672261, -114.0724733 51.067143, -114.07243 51.067142, -114.0724297 51.0671378, -114.0723658 51.0671387, -114.0723661 51.0671421, -114.0723232 51.0671427, -114.0723227 51.0672448, -114.072313 51.0672474, -114.0723191 51.0672731, -114.0723243 51.0672729, -114.0723239 51.0673144, -114.0724738 51.0673146, -114.072474 51.0672531, -114.0724911 51.0672519)))",63.42111442,208.9079374
359,2,Commercial,-7125.36,5658996.64,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.1016089 51.0671194, -114.1016071 51.0671194, -114.1016035 51.0672208, -114.101608 51.0672208, -114.1017436 51.0672227, -114.1017439 51.0672227, -114.1017442 51.0672139, -114.1017474 51.0671213, -114.1017374 51.0671212, -114.1016089 51.0671194)))",42.24356122,110.9713294
360,2,Commercial,-6015.76,5659002.08,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.08602 51.0671327, -114.0858159 51.0671325, -114.0856927 51.0671323, -114.0856675 51.0671323, -114.0856617 51.0671323, -114.0856419 51.0672337, -114.0856602 51.0673331, -114.0860184 51.0673329, -114.0860273 51.0673329, -114.0860467 51.0672329, -114.0860272 51.0671328, -114.08602 51.0671327)))",96.26855077,602.6509338
361,2,Commercial,-6961.25,5659000.4,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0992003 51.06729, -114.0992003 51.0672913, -114.0994598 51.0672911, -114.0994655 51.0672911, -114.0994657 51.0672911, -114.0994685 51.0672911, -114.0994681 51.0671224, -114.0991999 51.0671226, -114.0992003 51.06729)))",75.12770153,352.7518101
362,2,Commercial,-7025,5659003.65,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.10009 51.0672441, -114.1000089 51.0672441, -114.0999862 51.0672442, -114.0999864 51.067338, -114.0999972 51.067338, -114.1001035 51.0673379, -114.1001135 51.0673379, -114.1001135 51.0673309, -114.1001134 51.0673165, -114.1002886 51.0673163, -114.1002886 51.067332, -114.1002887 51.0673421, -114.1003976 51.067342, -114.1003971 51.0671283, -114.1003267 51.0671284, -114.1003267 51.0671341, -114.1000898 51.0671343, -114.10009 51.0672441)))",109.9387586,541.4681846
363,2,Commercial,-7363.41,5659026.64,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.1052103 51.0671363, -114.1052103 51.0671267, -114.1050814 51.0671269, -114.1047945 51.0671273, -114.1043788 51.0671279, -114.1043789 51.0671487, -114.1041809 51.067149, -114.1041814 51.0672904, -114.1041817 51.0673829, -114.1041817 51.0673926, -114.104237 51.0673925, -114.1042371 51.0674259, -114.1041084 51.0674261, -114.1041074 51.0674261, -114.1041075 51.0674553, -114.1038867 51.0674556, -114.1038872 51.0676093, -114.1038401 51.0676094, -114.1038401 51.0676195, -114.1038402 51.0676606, -114.1038542 51.0676606, -114.1038544 51.0677244, -114.1038863 51.0677244, -114.1038863 51.0677415, -114.1040697 51.0677413, -114.1040698 51.0677486, -114.1042028 51.0677485, -114.1042028 51.0677466, -114.1044778 51.0677462, -114.1044778 51.0677491, -114.1046679 51.0677488, -114.1046679 51.0677471, -114.1049413 51.0677467, -114.1049413 51.0677486, -114.1050761 51.0677484, -114.105076 51.0677275, -114.1055166 51.0677269, -114.1055166 51.0677404, -114.1058253 51.0677399, -114.1058252 51.0677266, -114.1060382 51.0677263, -114.1060376 51.0674735, -114.106037 51.0672208, -114.1060406 51.0672208, -114.1060406 51.0672101, -114.1060282 51.0672022, -114.1060316 51.0672, -114.1059687 51.0671598, -114.1059651 51.067162, -114.1059535 51.0671545, -114.1059346 51.0671545, -114.1059346 51.0671569, -114.1058392 51.0671571, -114.105839 51.0671496, -114.1058019 51.0671497, -114.105802 51.067157, -114.1057394 51.0671571, -114.1057393 51.0671498, -114.1057003 51.0671501, -114.1057004 51.0671573, -114.1056315 51.0671573, -114.1056313 51.0671494, -114.1055936 51.0671497, -114.1055937 51.0671573, -114.1054626 51.0671573, -114.1054626 51.0671522, -114.1052322 51.0671522, -114.1052322 51.0671548, -114.1052103 51.0671548, -114.1052103 51.0671363)))",461.5254761,9330.371948
364,2,Commercial,-4832.05,5659001.71,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0688248 51.0673261, -114.0690882 51.0673252, -114.0690866 51.0671549, -114.0688232 51.0671559, -114.0688248 51.0673261)))",74.80089551,349.6414862
365,2,Commercial,-6241.6,5659003.3,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0890235 51.0671792, -114.0889179 51.0671794, -114.0888941 51.0671952, -114.0888944 51.0672122, -114.088907 51.0672121, -114.0889079 51.0673036, -114.0889623 51.0673036, -114.0889975 51.06728, -114.089012 51.06728, -114.089205 51.06728, -114.0892054 51.0672711, -114.0892259 51.0672709, -114.089226 51.067188, -114.0892045 51.0671879, -114.0892047 51.0671788, -114.0890235 51.0671792)))",71.60522928,262.8341441
366,2,Commercial,-4359.48,5659001.31,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0623498 51.0672738, -114.062349 51.0672062, -114.0620769 51.0672075, -114.0620777 51.0672752, -114.0623498 51.0672738)))",53.19467279,143.5246712
367,2,Commercial,-5211.33,5659008.6,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0745835 51.0672116, -114.0741511 51.0672115, -114.0741509 51.0673866, -114.0745833 51.0673868, -114.0745835 51.0672116)))",99.5799328,590.4757932
368,2,Commercial,-7478.04,5659010.7,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.1069674 51.0672075, -114.1064473 51.0672081, -114.1064478 51.0673784, -114.1064757 51.0673784, -114.1069679 51.0673778, -114.1069679 51.0673684, -114.1069674 51.0672075)))",110.7948139,690.6570703
369,2,Commercial,-6339.46,5659007.69,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0906672 51.0672249, -114.0905815 51.0672262, -114.0905816 51.0672285, -114.0905837 51.0672289, -114.090584 51.0672443, -114.0905432 51.0672444, -114.0903024 51.0672451, -114.0902941 51.0672451, -114.0902942 51.0672601, -114.0902947 51.0673345, -114.0906291 51.0673336, -114.090629 51.067315, -114.0906288 51.0672883, -114.0906316 51.0672883, -114.0906313 51.0672579, -114.0906991 51.0672577, -114.0907397 51.0672576, -114.0907426 51.0672576, -114.0907423 51.0672247, -114.0907372 51.0672247, -114.0906672 51.0672249)))",87.1745283,269.3696526
370,2,Commercial,-6056.33,5659009.03,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0865284 51.0673102, -114.0865279 51.067288, -114.0865268 51.0672286, -114.0863173 51.0672301, -114.0863197 51.0673609, -114.0865293 51.0673593, -114.0865284 51.0673102)))",58.46729285,213.6458551
371,2,Commercial,-6203.04,5659010.79,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0883209 51.0672305, -114.0882579 51.0672305, -114.0882073 51.0672306, -114.0882075 51.0673108, -114.0882212 51.0673108, -114.0882214 51.0673879, -114.0888259 51.0673872, -114.0888256 51.067287, -114.0888374 51.067287, -114.0888373 51.0672331, -114.0888373 51.0672301, -114.0887895 51.0672301, -114.0887281 51.0672302, -114.0887281 51.0672345, -114.0885717 51.0672346, -114.0885717 51.067232, -114.0884728 51.0672321, -114.0884728 51.0672343, -114.088321 51.0672344, -114.0883209 51.0672305)))",124.7246808,743.5412464
372,2,Commercial,-5285.6,5659008.13,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0751845 51.0672941, -114.0751844 51.0673465, -114.0755862 51.0673467, -114.0756691 51.0673468, -114.0756691 51.0673462, -114.0756692 51.0672419, -114.0756679 51.0672419, -114.0751846 51.0672417, -114.0751845 51.0672941)))",91.26406361,396.0943906
373,2,Commercial,-7538.64,5659010.4,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.1078006 51.067358, -114.1078006 51.0672373, -114.1078006 51.0672195, -114.1077534 51.0672194, -114.1073438 51.0672194, -114.1073438 51.0673595, -114.1078006 51.0673596, -114.1078006 51.067358)))",95.20255432,499.1240707
374,2,Commercial,-6094.61,5659010.01,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.0867662 51.0673572, -114.0869205 51.0673569, -114.0869206 51.0673646, -114.0870206 51.0673644, -114.0870205 51.0673495, -114.0871736 51.0673485, -114.0871733 51.0672612, -114.0870355 51.0672612, -114.0870354 51.0672416, -114.0868921 51.0672426, -114.0868921 51.0672456, -114.0867468 51.0672458, -114.0867458 51.0672912, -114.0867655 51.0672912, -114.0867662 51.0673572)))",86.95401206,344.3530371
375,2,Commercial,-7125.94,5659010.25,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.1016036 51.0672383, -114.101604 51.0673477, -114.101604 51.0673488, -114.1017643 51.0673486, -114.1017643 51.067346, -114.101764 51.0672381, -114.1016036 51.0672383)))",47.06141039,138.1473906
376,2,Commercial,-8144.74,5659008.94,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.1161406 51.0672318, -114.116141 51.0673047, -114.1162988 51.0673044, -114.1162984 51.0672314, -114.1161406 51.0672318)))",38.3500731,89.75193229
377,2,Commercial,-8126.01,5659027.95,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.1161406 51.0672318, -114.1157628 51.0672327, -114.1157653 51.0676466, -114.1161431 51.0676457, -114.116141 51.0673047, -114.1161406 51.0672318)))",145.0435589,1219.116594
378,2,Commercial,-7992.99,5659024.07,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.1140158 51.0675451, -114.1142549 51.0674701, -114.114208 51.0674065, -114.1141888 51.067402, -114.1141682 51.0673756, -114.1141862 51.0673684, -114.1141603 51.0673318, -114.1141375 51.0673394, -114.1141259 51.0673225, -114.1141309 51.067312, -114.1140943 51.0672672, -114.1138609 51.06734, -114.113855 51.0673418, -114.1140158 51.0675451)))",91.84267382,472.472907
379,2,Commercial,-8074.02,5659023.86,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.115325 51.067506, -114.115335 51.0675039, -114.1153389 51.0675026, -114.1153425 51.0675003, -114.1153428 51.0674972, -114.1153418 51.0674942, -114.115266 51.0672904, -114.1152645 51.0672868, -114.1152609 51.0672836, -114.1152593 51.0672827, -114.1152565 51.0672812, -114.1152522 51.0672799, -114.1152458 51.0672798, -114.115238 51.0672804, -114.1151978 51.0672863, -114.1151958 51.0672824, -114.1151371 51.0672909, -114.1151383 51.0672946, -114.1150962 51.0673014, -114.1150894 51.0673027, -114.1150851 51.0673046, -114.1150815 51.0673069, -114.1150795 51.0673105, -114.1150804 51.0673147, -114.1151187 51.0674212, -114.1150958 51.0674249, -114.1151057 51.0674514, -114.1151307 51.0674479, -114.11516 51.0675292, -114.1151656 51.0675284, -114.115325 51.067506)))",80.87895958,349.092652
380,2,Commercial,-8187.52,5659055.24,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.1169294 51.0674729, -114.1169245 51.0674731, -114.1168792 51.0674748, -114.1168709 51.0674752, -114.1168486 51.067476, -114.1168453 51.0674435, -114.1168385 51.0673752, -114.1166925 51.0673311, -114.1166882 51.0673353, -114.1166738 51.0673481, -114.116675 51.0673591, -114.1167453 51.0679979, -114.1169815 51.0679885, -114.1169803 51.0679827, -114.1169884 51.0679811, -114.1169659 51.0677523, -114.1169541 51.067753, -114.1169501 51.0677178, -114.116959 51.0677166, -114.1169317 51.0674728, -114.1169294 51.0674729)))",179.0911658,1143.550933
381,2,Commercial,-8214.59,5659031.28,N,2025 May 21 09:29:28 PM,2025 May 21 09:29:28 PM,"MULTIPOLYGON (((-114.1173818 51.0673818, -114.1173825 51.0673745, -114.1170696 51.0673631, -114.1170524 51.0675484, -114.1170706 51.067549, -114.1171251 51.067551, -114.1171243 51.0675598, -114.1171233 51.0675701, -114.1172024 51.067573, -114.1172042 51.0675537, -114.1173654 51.0675597, -114.1173818 51.0673818)))",89.50543252,465.1760089
